SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
4629,Courvoisier C,24,815.76,33.99,19,32208970.250000004,0.9719244846392517,C
23220,Parducci Pnt Nr,63,814.37,12.90111111111111,45,32209784.620000005,0.9719490587295257,C
41614,Ridge Pagoni Ranch Znfdl,22,813.7800000000001,36.99,14,32210598.400000006,0.9719736150162053,C
15820,Mont Redon CdP Red,22,813.7800000000001,36.99,18,32211412.180000007,0.9719981713028848,C
19577,Forma de Art Red,54,813.46,15.15,25,32212225.640000008,0.9720227179333775,C
17535,Ninety+Cellars Lot 66 Rsl Mo,74,813.26,10.99,61,32213038.90000001,0.9720472585287534,C
3815,Solid Granite Vodka,29,811.7099999999999,27.99,28,32213850.61000001,0.9720717523519742,C
13427,Liberty School Cab Svgn,29,811.7099999999999,27.99,19,32214662.32000001,0.972096246175195,C
24138,Gaja Pieve Santa Restituta M,9,809.9100000000001,89.99,2,32215472.23000001,0.9721206856823646,C
37542,Frogs Leap Chard Napa,27,809.7299999999999,29.99,20,32216281.960000012,0.9721451197579293,C
24929,Corvo Nero d'Avola & Pnt Gr,34,809.66,23.49,12,32217091.620000012,0.972169551721203,C
26646,Guenoc Petite Sirah N Cst,54,809.46,14.99,21,32217901.080000013,0.97219397764936,C
22361,Ecco Domani Prosecco,162,808.38,4.99,56,32218709.460000012,0.9722183709878863,C
39107,Antinori Bolgheri Guado,8,807.9200000000001,100.99,3,32219517.380000014,0.9722427504456441,C
